id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated
bitcoin,btc,Bitcoin,https://coin-images.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,67635.0,1353109610122,1,1353109610122,42022135305,69999.0,67382.0,-1344.0144908896618,-1.94845,-26330244565.513428,-1.90876,19990343.0,19990343.0,21000000.0,126080.0,-46.35563,2025-10-06T18:57:42.558Z,67.81,99643.05323,2013-07-06T00:00:00.000Z,0,2026-02-16T16:36:00.609Z
ethereum,eth,Ethereum,https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628,1964.08,237450752181,2,237450752181,25185026825,2018.79,1933.97,-39.84232504290867,-1.98822,-4461064017.69516,-1.84409,120692449.4802243,120692449.4802243,0.0,4946.05,-60.28988,2025-08-24T19:21:03.333Z,0.432979,453520.7554,2015-10-20T00:00:00.000Z,"{'times': 37.82254509639658, 'currency': 'btc', 'percentage': 3782.2545096396584}",2026-02-16T16:36:01.015Z
tether,usdt,Tether,https://coin-images.coingecko.com/coins/images/325/large/Tether.png?1696501661,0.99951,183687359697,3,189151606262,75289989728,0.999767,0.999424,-0.000162926672986452,-0.0163,-7844564.059967041,-0.00427,183777810128.3032,189244747370.0162,0.0,1.32,-24.45709,2018-07-24T00:00:00.000Z,0.572521,74.57958,2015-03-02T00:00:00.000Z,0,2026-02-16T16:35:56.466Z
ripple,xrp,XRP,https://coin-images.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1696501442,1.48,90507682349,4,148553425704,3822159921,1.52,1.45,-0.034029005936764944,-2.2435,-1902585315.4644012,-2.05885,60917315351.0,99985721048.0,100000000000.0,3.65,-59.33636,2025-07-18T03:40:53.808Z,0.00268621,55098.66071,2014-05-22T00:00:00.000Z,0,2026-02-16T16:35:56.253Z
binancecoin,bnb,BNB,https://coin-images.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1696501970,609.45,83105162919,5,83105162919,906218559,629.88,605.55,-9.233738574748827,-1.49247,-1285653537.565567,-1.52345,136359230.62,136359230.62,200000000.0,1369.99,-55.51411,2025-10-13T08:41:24.131Z,0.0398177,1530508.35613,2017-10-19T00:00:00.000Z,0,2026-02-16T16:36:00.391Z
usd-coin,usdc,USDC,https://coin-images.coingecko.com/coins/images/6319/large/USDC.png?1769615602,0.9999,73640663924,6,73650419434,4815746281,1.0,0.999798,-2.405704515929e-06,-0.00024,70153029.0,0.09535,73648013127.50421,73657769611.56285,0.0,1.17,-14.73571,2019-05-08T00:40:28.300Z,0.877647,13.92963,2023-03-11T08:02:13.981Z,0,2026-02-16T16:35:56.450Z
solana,sol,Solana,https://coin-images.coingecko.com/coins/images/4128/large/solana.png?1718769756,83.57,47475513516,7,51858638297,4062527294,87.63,82.87,-3.7575162971284755,-4.30282,-2132372446.6683807,-4.29845,568079073.2563747,620526351.4253219,0.0,293.31,-71.50835,2025-01-19T11:15:27.957Z,0.500801,16587.14346,2020-05-11T19:35:23.449Z,0,2026-02-16T16:35:56.185Z
tron,trx,TRON,https://coin-images.coingecko.com/coins/images/1094/large/tron-logo.png?1696502193,0.282638,26781538308,8,26781542325,541134566,0.282785,0.279436,0.00228907,0.81651,235347786.0,0.88656,94725744988.9356,94725759196.2336,0.0,0.431288,-34.46651,2024-12-04T00:10:40.323Z,0.00180434,15564.34684,2017-11-12T00:00:00.000Z,"{'times': 147.75701672834583, 'currency': 'usd', 'percentage': 14775.701672834584}",2026-02-16T16:35:56.229Z
dogecoin,doge,Dogecoin,https://coin-images.coingecko.com/coins/images/5/large/dogecoin.png?1696501409,0.100201,16929288715,9,16930637021,1537265599,0.107339,0.099113,-0.007113412973042993,-6.62855,-1213915479.0522976,-6.69074,168752253126.579,168765693126.579,0.0,0.731578,-86.3034,2021-05-08T05:08:23.458Z,8.69e-05,115201.45089,2015-05-06T00:00:00.000Z,0,2026-02-16T16:35:56.124Z
figure-heloc,figr_heloc,Figure Heloc,https://coin-images.coingecko.com/coins/images/68480/large/figure.png?1755863954,1.02,15457607282,10,15457607282,56542,,,,,,,15156004312.187,15156004312.187,0.0,1.37,-25.53318,2025-10-28T06:05:38.345Z,0.155357,556.48959,2025-10-31T14:27:24.456Z,0,2026-02-15T05:28:04.736Z
